CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Ser/Sb,Notes
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/26/2013,Male,13,5,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/28/2013,Female,19,14,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/28/2013,Male,20,16,
Wave2,24B-Gal4/Tm3-sb,34073,2,Wave,1,7/18/2013,7/30/2013,Female,19,15,
Wave2,24B-Gal4/Tm3-sb,34073,2,Wave,1,7/18/2013,7/30/2013,Male,18,17,
WaveWave1,24B-Gal4/Tm3-sb,34073,1,Wave,2,7/15/2013,7/27/2013,Female,32,14,
WaveWave1,24B-Gal4/Tm3-sb,34073,1,Wave,2,7/15/2013,7/27/2013,Male,42,20,
WaveWave2,24B-Gal4/Tm3-sb,34073,2,Wave,2,7/19/2013,7/30/2013,Female,23,13,
WaveWave2,24B-Gal4/Tm3-sb,34073,2,Wave,2,7/19/2013,7/30/2013,Male,15,14,
Heart2,24B-Gal4/Tm3-sb,27551,2,Heart,1,7/18/2013,7/30/2013,Female,23,13,
Heart2,24B-Gal4/Tm3-sb,27551,2,Heart,1,7/18/2013,7/30/2013,Male,22,9,
HeartHeart2,24B-Gal4/Tm3-sb,27551,2,Heart,2,7/19/2013,7/30/2013,Female,25,10,
HeartHeart2,24B-Gal4/Tm3-sb,27551,2,Heart,2,7/19/2013,7/30/2013,Male,17,10,
SpiralSpiral2,24B-Gal4,28989/Tm3-sb,2,Spiral,2,7/18/2013,7/31/2013,Female,3,7,
SpiralSpiral2,24B-Gal4,28989/Tm3-sb,2,Spiral,2,7/18/2013,7/31/2013,Male,7,22,
MoonMoon2,24B-Gal4/Tm3-sb,34900,2,Moon,2,7/19/2013,7/30/2013,Female,15,17,
MoonMoon2,24B-Gal4/Tm3-sb,34900,2,Moon,2,7/19/2013,7/30/2013,Male,9,23,
Sun2,24B-Gal4/Tm3-sb,34340,2,Sun,1,7/18/2013,8/1/2013,Female,7,7,
Sun2,24B-Gal4/Tm3-sb,34340,2,Sun,1,7/18/2013,8/1/2013,Male,9,11,
SunSun2,24B-Gal4/Tm3-sb,34340,2,Sun,2,7/18/2013,7/31/2013,Female,10,16,
SunSun2,24B-Gal4/Tm3-sb,34340,2,Sun,2,7/18/2013,7/31/2013,Male,14,16,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/30/2013,Female,10,9,
Wave1,24B-Gal4/Tm3-sb,34073,1,Wave,1,7/15/2013,7/30/2013,Male,12,6,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/20/2013,Male,0,3,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/20/2013,Female,3,5,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/23/2013,Male,0,3,
SpiralSpiralSpiral2,24B-Gal4,28989/Tm3-sb,3,Spiral,2,7/18/2013,8/23/2013,Female,2,9,
SpiralSpiralSpiral3,24B-Gal4,28989/Tm3-sb,3,Spiral,3,,8/23/2013,Male,0,4,
SpiralSpiralSpiral3,24B-Gal4,28989/Tm3-sb,3,Spiral,3,,8/23/2013,Female,1,5,
