CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Ser/Sb,Tm6B,Tm6B+Ser/Sb,Notes
E2,24B-Gal4/Tm3-ser,31529/Tm6B,2,E,1,5/29/2013,6/9/2013,Male,0,0,2,0,
F1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,1,5/27/2013,6/9/2013,Female,6,7,2,4,
F1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,1,5/27/2013,6/9/2013,Male,4,14,7,9,
G1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,1,5/28/2013,6/8/2013,Female,0,14,9,0,
G1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,1,5/28/2013,6/8/2013,Male,0,6,6,3,
H1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,1,5/28/2013,6/8/2013,Female,0,5,6,1,
H1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,1,5/28/2013,6/8/2013,Male,0,5,8,0,
J1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,1,5/29/2013,6/9/2013,Female,6,3,2,3,
J1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,1,5/29/2013,6/9/2013,Male,6,6,5,1,
K1,24B-Gal4/Tm3-ser,31528/Tm6B,1,K,1,5/29/2013,6/8/2013,Female,0,5,2,5,
K1,24B-Gal4/Tm3-ser,31528/Tm6B,1,K,1,5/29/2013,6/8/2013,Male,0,8,6,3,
L1,24B-Gal4/Tm3-ser,31314/Tm6B,1,L,1,5/29/2013,6/8/2013,Female,6,4,6,3,
L1,24B-Gal4/Tm3-ser,31314/Tm6B,1,L,1,5/29/2013,6/8/2013,Male,10,6,6,4,
M1,Hand-Gal4/Tm3-ser,34814/Tm6B,1,M,1,5/30/2013,6/9/2013,Female,3,6,1,1,
M1,Hand-Gal4/Tm3-ser,34814/Tm6B,1,M,1,5/30/2013,6/9/2013,Male,5,2,1,0,*all males have yellow eyes
C3,24B-Gal4/Tm3-sb,31528/Tm6B,3,C,1,5/31/2013,6/10/2013,Female,0,5,3,0,
C3,24B-Gal4/Tm3-sb,31528/Tm6B,3,C,1,5/31/2013,6/10/2013,Male,0,7,2,1,
BB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,2,5/30/2013,6/9/2013,Female,1,0,9,4,
BB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,2,5/30/2013,6/9/2013,Male,0,3,5,2,
GG1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,2,5/30/2013,6/9/2013,Female,0,2,7,0,
GG1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,2,5/30/2013,6/9/2013,Male,0,3,7,0,
FF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,2,5/30/2013,6/9/2013,Female,5,5,4,0,
FF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,2,5/30/2013,6/9/2013,Male,2,2,5,2,
FFF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,3,5/30/2013,6/10/2013,Female,6,5,1,1,
FFF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,3,5/30/2013,6/10/2013,Male,4,8,4,7,
JJ1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,2,5/31/2013,6/11/2013,Female,10,4,3,4,
JJ1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,2,5/31/2013,6/11/2013,Male,3,7,2,2,
A3,24B-Gal4/Tm3-sb,31314/Tm6B,3,A,1,5/29/2013,6/12/2013,Female,0,3,1,1,
A3,24B-Gal4/Tm3-sb,31314/Tm6B,3,A,1,5/29/2013,6/12/2013,Male,6,4,3,3,
B3,24B-Gal4/Tm3-ser,34814/Tm6B,3,B,1,5/29/2013,6/12/2013,Female,0,4,0,1,
B3,24B-Gal4/Tm3-ser,34814/Tm6B,3,B,1,5/29/2013,6/12/2013,Male,0,2,4,2,
D2,24B-Gal4/Tm3-sb,31039/Tm6B,2,D,1,5/28/2013,6/12/2013,Female,6,2,3,0,
D2,24B-Gal4/Tm3-sb,31039/Tm6B,2,D,1,5/28/2013,6/12/2013,Male,5,2,4,0,
E2,24B-Gal4/Tm3-ser,31529/Tm6B,2,E,1,5/29/2013,6/11/2013,Female,0,4,8,2,
E2,24B-Gal4/Tm3-ser,31529/Tm6B,2,E,1,5/29/2013,6/11/2013,Male,0,4,2,1,
F2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,1,5/31/2013,6/10/2013,Female,7,6,8,0,
F2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,1,5/31/2013,6/10/2013,Male,2,0,1,1,
H1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,1,5/28/2013,6/11/2013,Female,0,4,5,1,
H1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,1,5/28/2013,6/11/2013,Male,0,6,2,0,
I1,24B-Gal4/Tm3-sb,35144/Tm6B,1,I,1,5/29/2013,6/9/2013,Female,2,2,8,1,
I1,24B-Gal4/Tm3-sb,35144/Tm6B,1,I,1,5/29/2013,6/9/2013,Male,1,2,4,0,
J1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,1,5/29/2013,6/11/2013,Female,4,4,0,2,
J1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,1,5/29/2013,6/11/2013,Male,5,3,1,1,
K1,24B-Gal4/Tm3-ser,31528/Tm6B,1,K,1,5/29/2013,6/11/2013,Female,0,1,4,4,
K1,24B-Gal4/Tm3-ser,31528/Tm6B,1,K,1,5/29/2013,6/11/2013,Male,0,6,4,5,
L1,24B-Gal4/Tm3-ser,31314/Tm6B,1,L,1,5/29/2013,6/12/2013,Female,7,5,6,2,
L1,24B-Gal4/Tm3-ser,31314/Tm6B,1,L,1,5/29/2013,6/12/2013,Male,4,4,3,2,
BB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,2,5/30/2013,6/12/2013,Female,0,3,4,2,
BB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,2,5/30/2013,6/12/2013,Male,0,6,4,2,
FF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,2,5/30/2013,6/12/2013,Female,1,5,1,4,
FF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,2,5/30/2013,6/12/2013,Male,5,5,2,0,
M1,Hand-Gal4/Tm3-ser,34814/Tm6B,1,M,1,5/30/2013,6/11/2013,Female,5,8,1,3,
M1,Hand-Gal4/Tm3-ser,34814/Tm6B,1,M,1,5/30/2013,6/11/2013,Male,4,5,1,2,
HH1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,2,5/30/2013,6/10/2013,Female,0,5,7,2,
HH1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,2,5/30/2013,6/10/2013,Male,0,10,7,3,
HH1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,2,5/30/2013,6/12/2013,Female,0,4,4,3,
HH1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,2,5/30/2013,6/12/2013,Male,0,4,3,5,
EE1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,2,5/31/2013,6/11/2013,Female,0,6,11,5,
EE1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,2,5/31/2013,6/11/2013,Male,0,5,3,4,
A4,24B-Gal4/Tm3-sb,31314/Tm6B,4,A,1,6/3/2013,6/12/2013,Female,4,0,1,1,
A4,24B-Gal4/Tm3-sb,31314/Tm6B,4,A,1,6/3/2013,6/12/2013,Male,7,3,2,1,
C3,24B-Gal4/Tm3-sb,31528/Tm6B,3,C,1,5/31/2013,6/13/2013,Female,0,1,2,1,*vial looked contaminated
C3,24B-Gal4/Tm3-sb,31528/Tm6B,3,C,1,5/31/2013,6/13/2013,Male,0,2,3,0,
G1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,1,5/28/2013,6/12/2013,Female,0,4,2,1,
G1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,1,5/28/2013,6/12/2013,Male,0,2,0,3,
H1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,1,5/28/2013,6/12/2013,Female,0,2,0,1,
H1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,1,5/28/2013,6/12/2013,Male,0,3,2,0,
I1,24B-Gal4/Tm3-sb,35144/Tm6B,1,I,1,5/29/2013,6/13/2013,Female,1,5,5,1,
I1,24B-Gal4/Tm3-sb,35144/Tm6B,1,I,1,5/29/2013,6/13/2013,Male,2,4,2,1,
J1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,1,5/29/2013,6/14/2013,Female,4,1,3,3,
J1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,1,5/29/2013,6/14/2013,Male,2,1,2,2,
J2,24B-Gal4/Tm3-ser,31039/Tm6B,2,J,1,6/3/2013,6/13/2013,Female,7,3,8,1,
J2,24B-Gal4/Tm3-ser,31039/Tm6B,2,J,1,6/3/2013,6/13/2013,Male,1,1,2,0,
FFF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,3,5/30/2013,6/12/2013,Female,3,5,2,3,
FFF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,3,5/30/2013,6/12/2013,Male,5,2,2,1,
JJ1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,2,5/31/2013,6/13/2013,Female,3,4,4,1,
JJ1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,2,5/31/2013,6/13/2013,Male,5,5,4,1,
A4,24B-Gal4/Tm3-sb,31314/Tm6B,4,A,1,6/3/2013,6/15/2013,Female,5,5,2,1,
A4,24B-Gal4/Tm3-sb,31314/Tm6B,4,A,1,6/3/2013,6/15/2013,Male,3,7,2,3,
B4,24B-Gal4/Tm3-ser,34814/Tm6B,4,B,1,6/3/2013,6/14/2013,Female,0,5,0,0,
B4,24B-Gal4/Tm3-ser,34814/Tm6B,4,B,1,6/3/2013,6/14/2013,Male,0,3,3,0,
D3,24B-Gal4/Tm3-sb,31039/Tm6B,3,D,1,6/3/2013,6/13/2013,Female,4,3,2,0,
D3,24B-Gal4/Tm3-sb,31039/Tm6B,3,D,1,6/3/2013,6/13/2013,Male,3,4,0,0,
D3,24B-Gal4/Tm3-sb,31039/Tm6B,3,D,1,6/3/2013,6/16/2013,Female,3,1,2,1,
D3,24B-Gal4/Tm3-sb,31039/Tm6B,3,D,1,6/3/2013,6/16/2013,Male,2,3,2,0,
E3,24B-Gal4/Tm3-ser,31529/Tm6B,3,E,1,6/3/2013,6/13/2013,Female,0,8,2,1,
E3,24B-Gal4/Tm3-ser,31529/Tm6B,3,E,1,6/3/2013,6/13/2013,Male,0,6,3,2,
F2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,1,5/31/2013,6/13/2013,Female,4,2,0,4,
F2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,1,5/31/2013,6/13/2013,Male,4,7,3,1,
F3,24B-Gal4/Tm3-ser,35144/Tm6B,3,F,1,6/5/2013,6/15/2013,Female,10,8,9,6,
F3,24B-Gal4/Tm3-ser,35144/Tm6B,3,F,1,6/5/2013,6/15/2013,Male,6,6,5,2,
G2,24B-Gal4/Tm3-sb,31529/Tm6B,2,G,1,6/3/2013,6/15/2013,Female,0,10,4,1,
G2,24B-Gal4/Tm3-sb,31529/Tm6B,2,G,1,6/3/2013,6/15/2013,Male,0,13,5,3,
H2,24B-Gal4/Tm3-sb,34814/Tm6B,2,H,1,6/3/2013,6/13/2013,Female,0,3,5,4,
H2,24B-Gal4/Tm3-sb,34814/Tm6B,2,H,1,6/3/2013,6/13/2013,Male,0,5,3,2,
H2,24B-Gal4/Tm3-sb,34814/Tm6B,2,H,1,6/3/2013,6/16/2013,Female,0,9,3,2,
H2,24B-Gal4/Tm3-sb,34814/Tm6B,2,H,1,6/3/2013,6/16/2013,Male,0,3,7,3,
I2,24B-Gal4/Tm3-sb,35144/Tm6B,2,I,1,6/3/2013,6/15/2013,Female,4,4,4,1,
I2,24B-Gal4/Tm3-sb,35144/Tm6B,2,I,1,6/3/2013,6/15/2013,Male,4,3,3,1,
J2,24B-Gal4/Tm3-ser,31039/Tm6B,2,J,1,6/3/2013,6/16/2013,Female,5,9,8,9,
J2,24B-Gal4/Tm3-ser,31039/Tm6B,2,J,1,6/3/2013,6/16/2013,Male,9,10,11,6,
K1,24B-Gal4/Tm3-ser,31528/Tm6B,1,K,1,5/29/2013,6/13/2013,Female,0,5,4,2,
K1,24B-Gal4/Tm3-ser,31528/Tm6B,1,K,1,5/29/2013,6/13/2013,Male,0,0,0,0,
K2,24B-Gal4/Tm3-ser,31528/Tm6B,2,K,1,6/3/2013,6/13/2013,Female,0,10,7,5,
K2,24B-Gal4/Tm3-ser,31528/Tm6B,2,K,1,6/3/2013,6/13/2013,Male,0,2,3,0,
K2,24B-Gal4/Tm3-ser,31528/Tm6B,2,K,1,6/3/2013,6/16/2013,Female,1,6,3,6,
K2,24B-Gal4/Tm3-ser,31528/Tm6B,2,K,1,6/3/2013,6/16/2013,Male,0,3,3,1,
L2,24B-Gal4/Tm3-ser,31314/Tm6B,2,L,1,6/3/2013,6/14/2013,Female,6,7,1,1,
L2,24B-Gal4/Tm3-ser,31314/Tm6B,2,L,1,6/3/2013,6/14/2013,Male,6,0,2,1,
L2,24B-Gal4/Tm3-ser,31314/Tm6B,2,L,1,6/3/2013,6/16/2013,Female,2,3,7,4,
L2,24B-Gal4/Tm3-ser,31314/Tm6B,2,L,1,6/3/2013,6/16/2013,Male,5,3,6,1,
BB2,24B-Gal4/Tm3-ser,34814/Tm6B,2,B,2,6/4/2013,6/16/2013,Female,1,6,15,5,
BB2,24B-Gal4/Tm3-ser,34814/Tm6B,2,B,2,6/4/2013,6/16/2013,Male,0,2,1,1,
GG1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,2,5/30/2013,6/13/2013,Female,0,6,1,0,
GG1,24B-Gal4/Tm3-sb,31529/Tm6B,1,G,2,5/30/2013,6/13/2013,Male,0,5,4,0,
GG2,24B-Gal4/Tm3-sb,31529/Tm6B,2,G,2,6/4/2013,6/16/2013,Female,0,8,6,3,
GG2,24B-Gal4/Tm3-sb,31529/Tm6B,2,G,2,6/4/2013,6/16/2013,Male,0,4,1,0,
FF2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,2,6/4/2013,6/16/2013,Female,7,10,5,5,
FF2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,2,6/4/2013,6/16/2013,Male,2,3,0,2,
M1,Hand-Gal4/Tm3-ser,34814/Tm6B,1,M,1,5/30/2013,6/13/2013,Female,6,4,6,0,
M1,Hand-Gal4/Tm3-ser,34814/Tm6B,1,M,1,5/30/2013,6/13/2013,Male,4,5,5,5,
HH1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,2,5/30/2013,6/13/2013,Female,0,6,1,3,
HH1,24B-Gal4/Tm3-sb,34814/Tm6B,1,H,2,5/30/2013,6/13/2013,Male,0,7,3,3,
HH2,24B-Gal4/Tm3-sb,34814/Tm6B,2,H,2,6/4/2013,6/16/2013,Female,0,11,7,3,
HH2,24B-Gal4/Tm3-sb,34814/Tm6B,2,H,2,6/4/2013,6/16/2013,Male,0,4,4,1,
FFF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,3,5/30/2013,6/15/2013,Female,9,9,6,4,
FFF1,24B-Gal4/Tm3-ser,35144/Tm6B,1,F,3,5/30/2013,6/15/2013,Male,3,5,5,4,
FFF2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,3,6/5/2013,6/16/2013,Female,8,10,6,2,
FFF2,24B-Gal4/Tm3-ser,35144/Tm6B,2,F,3,6/5/2013,6/16/2013,Male,0,2,2,0,
EE1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,2,5/31/2013,6/13/2013,Female,0,4,3,2,
EE1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,2,5/31/2013,6/13/2013,Male,0,2,3,1,
EE1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,2,5/31/2013,6/16/2013,Female,0,6,8,4,
EE1,24B-Gal4/Tm3-ser,31529/Tm6B,1,E,2,5/31/2013,6/16/2013,Male,0,4,5,4,
JJ1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,2,5/31/2013,6/16/2013,Female,3,6,4,4,
JJ1,24B-Gal4/Tm3-ser,31039/Tm6B,1,J,2,5/31/2013,6/16/2013,Male,3,8,3,2,
JJ2,24B-Gal4/Tm3-ser,31039/Tm6B,2,J,2,6/6/2013,6/16/2013,Female,6,3,3,1,
JJ2,24B-Gal4/Tm3-ser,31039/Tm6B,2,J,2,6/6/2013,6/16/2013,Male,0,0,0,0,
N1,Hand-Gal4/Tm3-ser,31039/Tm6B,1,N,1,6/3/2013,6/14/2013,Female,11,15,14,6,
N1,Hand-Gal4/Tm3-ser,31039/Tm6B,1,N,1,6/3/2013,6/14/2013,Male,7,14,8,2,
BBB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,3,6/3/2013,6/13/2013,Female,0,3,4,1,
BBB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,3,6/3/2013,6/13/2013,Male,0,3,0,2,
BBB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,3,6/3/2013,6/16/2013,Female,0,6,3,5,
BBB1,24B-Gal4/Tm3-ser,34814/Tm6B,1,B,3,6/3/2013,6/16/2013,Male,0,8,5,8,
II1,24B-Gal4/Tm3-sb,35144/Tm6B,1,I,2,6/3/2013,6/15/2013,Female,14,22,14,12,
II1,24B-Gal4/Tm3-sb,35144/Tm6B,1,I,2,6/3/2013,6/15/2013,Male,22,13,8,2,
DD1,24B-Gal4/Tm3-sb,31039/Tm6B,1,D,2,6/6/2013,6/16/2013,Female,11,8,3,0,
DD1,24B-Gal4/Tm3-sb,31039/Tm6B,1,D,2,6/6/2013,6/16/2013,Male,8,4,1,0,
M2,Hand-Gal4/Tm3-ser,34814/Tm6B,2,M,1,6/4/2013,6/16/2013,Female,7,7,2,5,
M2,Hand-Gal4/Tm3-ser,34814/Tm6B,2,M,1,6/4/2013,6/16/2013,Male,3,3,0,1,
