Genotype,Time
Raptor Knockdown,15
Raptor Knockdown,35
Raptor Knockdown,56
Control,5
Control,7
Control,7
Control,8
Control,19
Control,10
Control,10
Control,12
Control,12
Control,13
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,2
Control,3
Control,4
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
Control,1
