CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,Count,Notes
2I,Mef-Gal4,31314/III,1,I,1,1/13/2014,1/27/2014,Males,36,
2J,Mef-Gal4,31039/III,1,J,1,1/13/2014,1/27/2014,Females,19,
2J,Mef-Gal4,31039/III,1,J,1,1/13/2014,1/27/2014,Males,24,
2K,Mef-Gal4,34814/III,1,K,1,1/13/2014,1/27/2014,Females,0,
2K,Mef-Gal4,34814/III,1,K,1,1/13/2014,1/27/2014,Males,0,
2L,Mef-Gal4,31528/III,1,L,1,1/13/2014,1/27/2014,Females,0,
2L,Mef-Gal4,31528/III,1,L,1,1/13/2014,1/27/2014,Males,0,
3C,C179-Gal4,31314/III,1,C,2,1/15/2014,1/29/2014,Females,81,
3C,C179-Gal4,31314/III,1,C,2,1/15/2014,1/29/2014,Males,83,
4C,C179-Gal4,31314/III,1,C,3,1/15/2014,1/29/2014,Females,85,
4C,C179-Gal4,31314/III,1,C,3,1/15/2014,1/29/2014,Males,98,
3G,C179-Gal4,35144/sb,1,G,1,1/15/2014,1/29/2014,Females,56,43 sb
3G,C179-Gal4,35144/sb,1,G,1,1/15/2014,1/29/2014,Males,49,52 sb
4G,C179-Gal4,35144/sb,1,G,2,1/15/2014,1/30/2014,Females,33,28 sb
4G,C179-Gal4,35144/sb,1,G,2,1/15/2014,1/30/2014,Males,45,33 sb
2M,Mef-Gal4,35144/sb,1,M,1,1/15/2014,1/29/2014,Females,10,21 sb
2M,Mef-Gal4,35144/sb,1,M,1,1/15/2014,1/29/2014,Males,15,23 sb
3M,Mef-Gal4,35144/sb,1,M,2,1/15/2014,1/29/2014,Females,26,40 sb
3M,Mef-Gal4,35144/sb,1,M,2,1/15/2014,1/29/2014,Males,20,42 sb
2II,Mef-Gal4,31314/III,2,I,1,1/20/2014,2/3/2014,Females,16,
2II,Mef-Gal4,31314/III,2,I,1,1/20/2014,2/3/2014,Males,10,
2LL,Mef-Gal4,31528/III,2,L,1,1/20/2014,2/3/2014,Females,0,
2LL,Mef-Gal4,31528/III,2,L,1,1/20/2014,2/3/2014,Males,0,
2KK,Mef-Gal4,34814/III,2,K,1,1/20/2014,2/3/2014,Females,0,
2KK,Mef-Gal4,34814/III,2,K,1,1/20/2014,2/3/2014,Males,0,
2JJ,Mef-Gal4,31039/III,2,J,1,1/20/2014,2/3/2014,Females,13,
2JJ,Mef-Gal4,31039/III,2,J,1,1/20/2014,2/3/2014,Males,10,
2MM,Mef-Gal4,35144/sb,2,M,1,1/20/2014,2/3/2014,Females,19,17 sb
2MM,Mef-Gal4,35144/sb,2,M,1,1/20/2014,2/3/2014,Males,10,15 sb
3MM,Mef-Gal4,35144/sb,2,M,2,1/20/2014,2/3/2014,Females,30,59 sb
3MM,Mef-Gal4,35144/sb,2,M,2,1/20/2014,2/3/2014,Males,15,41 sb
2HH,Mef-Gal4,36304/III,2,H,1,1/20/2014,2/3/2014,Females,20,
2HH,Mef-Gal4,36304/III,2,H,1,1/20/2014,2/3/2014,Males,18,
3HH,Mef-Gal4,36304/III,2,H,2,1/20/2014,2/3/2014,Females,22,
3HH,Mef-Gal4,36304/III,2,H,2,1/20/2014,2/3/2014,Males,23,
3FF,C179-Gal4,36304/III,2,F,2,1/20/2014,2/3/2014,Females,79,
3FF,C179-Gal4,36304/III,2,F,2,1/20/2014,2/3/2014,Males,80,
V2,36304/III,36304/III,2,V,1,1/20/2014,2/3/2014,Females,48,
V2,36304/III,36304/III,2,V,1,1/20/2014,2/3/2014,Males,55,
W2,36304/III,36304/III,2,W,1,1/20/2014,2/3/2014,Females,20,
W2,36304/III,36304/III,2,W,1,1/20/2014,2/3/2014,Males,13,
4FF,C179-Gal4,36304/III,2,F,3,1/20/2014,2/5/2014,Females,44,
4FF,C179-Gal4,36304/III,2,F,3,1/20/2014,2/5/2014,Males,41,
3CC,C179-Gal4,31314/III,2,C,2,1/20/2014,2/5/2014,Females,90,
3CC,C179-Gal4,31314/III,2,C,2,1/20/2014,2/5/2014,Males,96,
4CC,C179-Gal4,31314/III,2,C,3,1/20/2014,2/5/2014,Females,44,
4CC,C179-Gal4,31314/III,2,C,3,1/20/2014,2/5/2014,Males,9,
4GG,C179-Gal4,35144/sb,2,G,2,1/20/2014,2/5/2014,Females,45,20 sb
4GG,C179-Gal4,35144/sb,2,G,2,1/20/2014,2/5/2014,Males,50,23 sb
