CrossName,Gender,Phenotype,Birth.Date,Death.Date,Accidental,Notes
SPIRALSPIRAL1,Female,WT,7/26/2013,8/30/2013,FALSE,
SPIRALSPIRAL1,MALE,WT,7/26/2013,8/30/2013,FALSE,
WAVE1,MALE,SB,7/26/2013,8/30/2013,FALSE,
WAVE1,MALE,SB,7/26/2013,8/30/2013,FALSE,
WAVEWAVE2,MALE,SB,7/30/2013,8/30/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,8/30/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,8/30/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/29/2013,8/30/2013,FALSE,
SUN2,MALE,WT,8/1/2013,8/30/2013,FALSE,
WAVE1,MALE,WT,7/28/2013,8/30/2013,FALSE,
WAVE1,MALE,WT,7/26/2013,8/30/2013,FALSE,
WAVE1,MALE,WT,7/26/2013,8/30/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,8/30/2013,FALSE,
SUN1,MALE,WT,7/26/2013,8/30/2013,FALSE,
SPIRAL1,MALE,SB,7/25/2013,9/3/2013,FALSE,
HEART1,MALE,WT,7/28/2013,9/3/2013,FALSE,
STAR1,MALE,WT,7/27/2013,9/3/2013,FALSE,
HEARTHEART2,MALE,SB,7/30/2013,9/3/2013,FALSE,
HEARTHEART2,MALE,SB,7/30/2013,9/3/2013,FALSE,
SUN1,MALE,WT,7/25/2013,9/3/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/3/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/3/2013,FALSE,
HEART1,MALE,SB,7/27/2013,9/3/2013,FALSE,
WAVE1,MALE,WT,7/26/2013,9/3/2013,FALSE,
STAR1,MALE,WT,7/25/2013,9/3/2013,FALSE,
STAR1,MALE,WT,7/25/2013,9/3/2013,FALSE,
HEART2,MALE,SB,7/30/2013,9/3/2013,FALSE,
STAR1,MALE,SB,7/25/2013,9/3/2013,FALSE,
PLANET1,Female,SB,7/26/2013,9/3/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/3/2013,FALSE,
STAR1,MALE,WT,7/26/2013,9/3/2013,FALSE,
STAR1,MALE,WT,7/26/2013,9/3/2013,FALSE,
SPIRALSPIRALSPIRAL2,Female,WT,8/23/2013,9/3/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/3/2013,FALSE,
SPIRAL2,MALE,WT,7/31/2013,9/3/2013,FALSE,
SPIRAL2,Female,WT,7/26/2013,9/3/2013,FALSE,
CRESENT2,MALE,SB,7/29/2013,9/3/2013,FALSE,
SUNSUN2,Female,WT,7/31/2013,9/3/2013,FALSE,
STARSTAR2,MALE,WT,7/30/2013,9/3/2013,FALSE,
PLANET1,MALE,SB,7/25/2013,9/3/2013,FALSE,
PLANET1,MALE,SB,7/25/2013,9/3/2013,FALSE,
SPIRALSPIRAL2,MALE,SB,7/31/2013,9/3/2013,FALSE,
CRESENTCRESENT1,Female,SB,7/27/2013,9/3/2013,FALSE,
SUNSUN2,MALE,WT,7/30/2013,9/3/2013,FALSE,
SPIRALSPIRAL2,MALE,SB,7/31/2013,9/3/2013,FALSE,
HEART2,Female,WT,7/30/2013,9/3/2013,FALSE,
SUNSUN2,MALE,WT,7/30/2013,9/3/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,9/3/2013,FALSE,
WAVEWAVE2,MALE,SB,7/30/2013,9/3/2013,FALSE,
SUN2,MALE,SB,7/30/2013,9/3/2013,FALSE,
STARSTAR1,MALE,WT,7/29/2013,9/6/2013,FALSE,
SPIRALSPIRAL1,Female,SB,7/26/2013,9/6/2013,FALSE,
WaveWave1 ,MALE,WT,7/25/2013,9/6/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/6/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/6/2013,FALSE,
WAVE1,MALE,WT,7/26/2013,9/6/2013,FALSE,
WaveWave1 ,MALE,WT,7/27/2013,9/6/2013,FALSE,
SPIRALSPIRAL2,Female,SB,7/31/2013,9/6/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/6/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/6/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/6/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/6/2013,FALSE,
CRESENTCRESENT2,MALE,SB,7/30/2013,9/6/2013,FALSE,
CRESENTCRESENT2,MALE,SB,7/30/2013,9/6/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/6/2013,FALSE,
PLANETPLANET2,Female,WT,7/30/2013,9/6/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/6/2013,FALSE,
SUNSUN2,MALE,WT,7/31/2013,9/6/2013,FALSE,
SUNSUN2,MALE,WT,7/31/2013,9/6/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/6/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/6/2013,FALSE,
STARSTAR2,MALE,WT,7/30/2013,9/6/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/6/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/6/2013,FALSE,
WAVE2,MALE,WT,7/30/2013,9/6/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/6/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/6/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/6/2013,FALSE,
SPIRAL4,MALE,SB,7/27/2013,9/10/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/10/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SPIRAL3,FEmale,SER,7/4/2013,9/10/2013,FALSE,
SPIRALSPIRAL2,FEmale,SB,7/31/2013,9/10/2013,FALSE,
STAR1,MALE,WT,7/27/2013,9/10/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/10/2013,FALSE,
STAR1,FEmale,WT,7/27/2013,9/10/2013,FALSE,
HEART1,MALE,SB,7/25/2013,9/10/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/10/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/10/2013,FALSE,
WaveWave1 ,MALE,WT,7/25/2013,9/10/2013,FALSE,
WaveWave1 ,MALE,SB,7/27/2013,9/10/2013,FALSE,
WaveWave1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/10/2013,FALSE,
HEARTHEART2,FEmale,WT,7/30/2013,9/10/2013,FALSE,
HEART1,MALE,SB,7/27/2013,9/10/2013,FALSE,
HEART1,MALE,SB,7/27/2013,9/10/2013,FALSE,
STARSTAR1,FEmale,SB,7/26/2013,9/10/2013,FALSE,
HEART1,MALE,WT,7/27/2013,9/10/2013,FALSE,
STARTSTAR2,MALE,WT,7/30/2013,9/10/2013,FALSE,
CRESENTCRESENT2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SPIRAL1,MALE,SB,7/27/2013,9/10/2013,FALSE,
SUN2,FEmale,WT,8/1/2013,9/10/2013,FALSE,
STARSTAR1,FEmale,SB,7/25/2013,9/10/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/10/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/10/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/10/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/10/2013,FALSE,
STARSTAR2,FEmale,SB,7/30/2013,9/10/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/10/2013,FALSE,
SUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUN2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/10/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/10/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/10/2013,FALSE,
STAR1,MALE,WT,7/25/2013,9/10/2013,FALSE,
SPIRAL1,FEmale,SB,7/25/2013,9/10/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/10/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/10/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/10/2013,FALSE,
PLANETPLANET2,FEmale,WT,7/30/2013,9/10/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/10/2013,FALSE,
SUNSUN2,MALE,WT,7/31/2013,9/10/2013,FALSE,
