CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Cyo/Sb,Cyo,Sb,Cyo+Sb,Notes
3D2,Mhc-GAL4/TM6C,41912/II,2,3D,1,,6/16/2014,Female,2,2,,,,
5AAA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,3,,6/16/2014,Male,2,12,,,,
5AAA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,3,,6/16/2014,Female,7,11,,,,
3AA1,Mhc-GAL4/TM6C,36304/III,1,3A,2,,6/16/2014,Male,9,6,,,,
3AA1,Mhc-GAL4/TM6C,36304/III,1,3A,2,,6/16/2014,Female,12,7,,,,
3C3,Mhc-GAL4/TM6C,34814/III,3,3C,1,,6/17/2014,Male,8,10,,,,
3C3,Mhc-GAL4/TM6C,34814/III,3,3C,1,,6/17/2014,Female,3,8,,,,
3C4,Mhc-GAL4/TM6C,34814/III,4,3C,1,,6/17/2014,Male,22,19,,,,
3C4,Mhc-GAL4/TM6C,34814/III,4,3C,1,,6/17/2014,Female,34,15,,,,
3D3,Mhc-GAL4/TM6C,41912/II,3,3D,1,,6/17/2014,Male,13,7,,,,
3D3,Mhc-GAL4/TM6C,41912/II,3,3D,1,,6/17/2014,Female,12,6,,,,
4AA1,Mef-GAL4,32371/III,1,4A,2,,6/17/2014,Male,12,0,,,,
4AA1,Mef-GAL4,32371/III,1,4A,2,,6/17/2014,Female,7,0,,,,
4AA2,Mef-GAL4,32371/III,2,4A,2,,6/17/2014,Male,15,0,,,,
4AA2,Mef-GAL4,32371/III,2,4A,2,,6/17/2014,Female,16,0,,,,
4A2,Mef-GAL4,32371/III,2,4A,1,,6/17/2014,Male,1,0,,,,
4A2,Mef-GAL4,32371/III,2,4A,1,,6/17/2014,Female,8,0,,,,
4B2,Mef-GAL4,36304/III,2,4B,1,,6/17/2014,Male,3,0,,,,
4B2,Mef-GAL4,36304/III,2,4B,1,,6/17/2014,Female,5,0,,,,
4B3,Mef-GAL4,36304/III,3,4B,1,,6/17/2014,Male,1,0,,,,
4B3,Mef-GAL4,36304/III,3,4B,1,,6/17/2014,Female,3,0,,,,
4C1,Mef-GAL4,35137/III,1,4C,1,,6/17/2014,Male,0,0,,,,
4C1,Mef-GAL4,35137/III,1,4C,1,,6/17/2014,Female,1,0,,,,
5AA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,2,,6/17/2014,Male,6,7,,,,
5AA1,"24B-GAL4/Tm3,sb",36304/III,1,5A,2,,6/17/2014,Female,3,6,,,,
3E1,Mhc-GAL4/TM6C,31529/III,1,3E,1,,6/17/2014,Male,7,15,,,,
