"","Gender","Gene","UAS","Driver","Age"
"1","male","HLH106","25975","24B-Gal4",61
"2","female","HLH106","25975","24B-Gal4",93
"3","female","HLH106","25975","24B-Gal4",86
"4","female","HLH106","25975","24B-Gal4",93
"5","female","HLH106","25975","24B-Gal4",93
"6","female","HLH106","25975","24B-Gal4",70
"7","female","HLH106","25975","24B-Gal4",87
"8","female","HLH106","25975","24B-Gal4",94
"9","female","HLH106","25975","24B-Gal4",42
"10","female","HLH106","25975","24B-Gal4",98
"11","male","HLH106","25975","24B-Gal4",28
"12","female","HLH106","25975","24B-Gal4",38
"13","male","HLH106","25975","24B-Gal4",52
"14","female","HLH106","25975","24B-Gal4",90
"15","male","HLH106","25975","24B-Gal4",49
"16","female","HLH106","25975","24B-Gal4",94
"17","male","HLH106","25975","24B-Gal4",73
"18","female","HLH106","25975","24B-Gal4",94
"19","female","HLH106","25975","24B-Gal4",94
"20","male","HLH106","25975","24B-Gal4",78
"21","male","HLH106","25975","24B-Gal4",13
"22","male","HLH106","25975","24B-Gal4",13
"23","male","HLH106","25975","24B-Gal4",13
"24","male","HLH106","25975","24B-Gal4",13
"25","male","HLH106","25975","24B-Gal4",13
"26","female","HLH106","25975","24B-Gal4",92
"27","male","HLH106","25975","24B-Gal4",13
"28","female","HLH106","25975","24B-Gal4",81
"29","female","HLH106","25975","24B-Gal4",101
"30","female","HLH106","25975","24B-Gal4",97
"31","female","HLH106","25975","24B-Gal4",97
"32","female","HLH106","25975","24B-Gal4",92
"33","male","HLH106","25975","24B-Gal4",75
"34","male","HLH106","25975","24B-Gal4",81
"35","female","HLH106","25975","24B-Gal4",101
"36","male","HLH106","25975","24B-Gal4",81
"37","female","HLH106","25975","24B-Gal4",97
"38","female","HLH106","25975","24B-Gal4",24
"39","female","HLH106","25975","24B-Gal4",92
"40","female","HLH106","25975","24B-Gal4",97
"41","male","HLH106","25975","24B-Gal4",49
"42","male","HLH106","25975","24B-Gal4",79
"43","male","HLH106","25975","24B-Gal4",56
"44","male","HLH106","25975","24B-Gal4",56
"45","female","HLH106","25975","24B-Gal4",66
"46","male","HLH106","25975","24B-Gal4",83
"47","male","HLH106","25975","24B-Gal4",56
"48","female","HLH106","25975","24B-Gal4",57
"49","female","HLH106","25975","24B-Gal4",57
"50","female","HLH106","25975","24B-Gal4",90
"51","female","HLH106","25975","24B-Gal4",57
"52","female","HLH106","25975","24B-Gal4",70
"53","female","HLH106","25975","24B-Gal4",70
"54","male","HLH106","25975","24B-Gal4",87
"55","female","HLH106","25975","24B-Gal4",86
"56","female","HLH106","25975","24B-Gal4",90
"57","female","HLH106","25975","24B-Gal4",90
"58","female","HLH106","25975","24B-Gal4",86
"59","female","HLH106","25975","24B-Gal4",97
"60","female","HLH106","25975","24B-Gal4",93
"61","female","HLH106","25975","24B-Gal4",93
"62","female","HLH106","25975","24B-Gal4",93
"63","female","HLH106","25975","24B-Gal4",97
"64","female","HLH106","25975","24B-Gal4",55
"65","female","HLH106","25975","24B-Gal4",97
"66","female","HLH106","25975","24B-Gal4",86
"67","female","Atg5","27551","24B-Gal4",101
"68","male","Atg5","27551","24B-Gal4",95
"69","male","Atg5","27551","24B-Gal4",91
"70","male","Atg5","27551","24B-Gal4",91
"71","male","Atg5","27551","24B-Gal4",44
"72","male","Atg5","27551","24B-Gal4",80
"73","female","Atg5","27551","24B-Gal4",11
"74","female","Atg5","27551","24B-Gal4",97
"75","male","Atg5","27551","24B-Gal4",44
"76","female","Atg5","27551","24B-Gal4",11
"77","male","Atg5","27551","24B-Gal4",95
"78","female","Atg5","27551","24B-Gal4",97
"79","female","Atg5","27551","24B-Gal4",99
"80","male","Atg5","27551","24B-Gal4",69
"81","female","Atg5","27551","24B-Gal4",79
"82","female","Atg5","27551","24B-Gal4",22
"83","male","Atg5","27551","24B-Gal4",90
"84","male","Atg5","27551","24B-Gal4",15
"85","female","Atg5","27551","24B-Gal4",90
"86","male","Atg5","27551","24B-Gal4",95
"87","male","Atg5","27551","24B-Gal4",66
"88","male","Atg5","27551","24B-Gal4",48
"89","female","Atg5","27551","24B-Gal4",73
"90","male","Atg5","27551","24B-Gal4",84
"91","male","Atg5","27551","24B-Gal4",51
"92","male","Atg5","27551","24B-Gal4",79
"93","male","Atg5","27551","24B-Gal4",69
"94","male","Atg5","27551","24B-Gal4",73
"95","female","Atg5","27551","24B-Gal4",101
"96","female","Atg5","27551","24B-Gal4",99
"97","male","Atg5","27551","24B-Gal4",84
"98","male","Atg5","27551","24B-Gal4",48
"99","female","Atg5","27551","24B-Gal4",101
"100","male","Atg5","27551","24B-Gal4",69
"101","female","Atg5","27551","24B-Gal4",99
"102","male","Atg5","27551","24B-Gal4",37
"103","male","Atg5","27551","24B-Gal4",59
"104","female","Atg5","27551","24B-Gal4",84
"105","male","Atg5","27551","24B-Gal4",76
"106","male","Atg5","27551","24B-Gal4",66
"107","female","Atg5","27551","24B-Gal4",99
"108","male","Atg5","27551","24B-Gal4",38
"109","female","Atg5","27551","24B-Gal4",70
"110","male","Atg5","27551","24B-Gal4",57
"111","female","Atg5","27551","24B-Gal4",83
"112","male","Atg5","27551","24B-Gal4",28
"113","male","Atg5","27551","24B-Gal4",57
"114","female","Atg5","27551","24B-Gal4",73
"115","male","Atg5","27551","24B-Gal4",38
"116","female","Atg5","27551","24B-Gal4",83
"117","male","Atg5","27551","24B-Gal4",49
"118","male","Atg5","27551","24B-Gal4",66
"119","male","Atg5","27551","24B-Gal4",49
"120","female","Atg5","27551","24B-Gal4",56
"121","male","Atg5","27551","24B-Gal4",57
"122","male","Atg5","27551","24B-Gal4",28
"123","female","Atg5","27551","24B-Gal4",83
"124","male","Atg5","27551","24B-Gal4",45
"125","female","Atg5","27551","24B-Gal4",59
"126","female","Atg5","27551","24B-Gal4",83
"127","female","Atg5","27551","24B-Gal4",83
"128","male","Atg5","27551","24B-Gal4",66
"129","female","Atg5","27551","24B-Gal4",42
"130","male","Atg5","27551","24B-Gal4",38
"131","female","Atg5","27551","24B-Gal4",17
"132","female","Atg5","27551","24B-Gal4",73
"133","male","Atg5","27551","24B-Gal4",38
"134","female","Atg5","27551","24B-Gal4",98
"135","female","Atg5","27551","24B-Gal4",101
"136","male","Atg5","27551","24B-Gal4",44
"137","male","Atg5","27551","24B-Gal4",79
"138","male","Atg5","27551","24B-Gal4",47
"139","male","Atg5","27551","24B-Gal4",45
"140","male","Atg5","27551","24B-Gal4",79
"141","male","Atg5","27551","24B-Gal4",88
"142","male","Atg5","27551","24B-Gal4",88
"143","female","Atg5","27551","24B-Gal4",97
"144","female","Atg5","27551","24B-Gal4",70
