UAS,Gene
31039,Tsc1
31314,Tsc1
35144,Tsc1
31528,Raptor
31529,Raptor
34814,Raptor
25975,HLH106
34073,HLH106
27551,Atg5
28989,Atg8a
34340,Atg8a
27554,Atg8b
34900,Atg8b
36304,Control
41912,Raptor
