Exp ,well,gene,treatment,value
20-Feb,1c,Cdkn1a,DMSO,0.917074251
20-Feb,2a,Cdkn1a,RAPA (low),0.626380173
20-Feb,2b,Cdkn1a,RAPA (low),0.695012318
20-Feb,2c,Cdkn1a,RAPA (low),0.683072422
20-Feb,1a,Il6,DMSO,0.111023462
20-Feb,1b,Il6,DMSO,1.776375395
20-Feb,1c,Il6,DMSO,1.112601143
20-Feb,2a,Il6,RAPA (low),11.18843614
20-Feb,2b,Il6,RAPA (low),4.224956516
20-Feb,2c,Il6,RAPA (low),5.892731342
Mar7 plate1,1a,Actb,DMSO,1.135276563
Mar7 plate1,1b,Actb,DMSO,0.834438209
Mar7 plate1,1c,Actb,DMSO,1.030285228
Mar7 plate1,2a,Actb,RAPA (high),1.670805495
Mar7 plate1,2b,Actb,RAPA (high),1.873250444
Mar7 plate1,2c,Actb,RAPA (high),1.622303556
Mar7 plate1,1a,Cdkn1a,DMSO,1.267254553
Mar7 plate1,1b,Cdkn1a,DMSO,0.828863448
Mar7 plate1,1c,Cdkn1a,DMSO,0.903881999
Mar7 plate1,2a,Cdkn1a,RAPA (high),0.561246461
Mar7 plate1,2b,Cdkn1a,RAPA (high),0.525479485
Mar7 plate1,2c,Cdkn1a,RAPA (high),0.435035895
Mar7 plate1,1a,Myf5,DMSO,1.349347576
Mar7 plate1,1b,Myf5,DMSO,0.74902997
Mar7 plate1,1c,Myf5,DMSO,0.901622454
Mar7 plate1,2a,Myf5,RAPA (high),0.493319886
Mar7 plate1,2b,Myf5,RAPA (high),0.465901006
Mar7 plate1,2c,Myf5,RAPA (high),0.514269091
Mar7 plate1,1a,Myog,DMSO,1.078329855
Mar7 plate1,1b,Myog,DMSO,0.835839913
Mar7 plate1,1c,Myog,DMSO,1.085830232
Mar7 plate1,2a,Myog,RAPA (high),0.501318214
Mar7 plate1,2b,Myog,RAPA (high),0.491001235
Mar7 plate1,2c,Myog,RAPA (high),0.544799981
Mar7 plate1,1a,Myod1,DMSO,1.216094477
Mar7 plate1,1b,Myod1,DMSO,0.799547314
Mar7 plate1,1c,Myod1,DMSO,0.984358209
Mar7 plate1,2a,Myod1,RAPA (high),1.218203635
Mar7 plate1,2b,Myod1,RAPA (high),1.04228897
Mar7 plate1,2c,Myod1,RAPA (high),1.094108121
Mar7 plate1,1a,Mef2c,DMSO,1.172346422
Mar7 plate1,1b,Mef2c,DMSO,0.780190827
Mar7 plate1,1c,Mef2c,DMSO,1.047462751
Mar7 plate1,2a,Mef2c,RAPA (high),0.154630728
Mar7 plate1,2b,Mef2c,RAPA (high),0.137680767
Mar7 plate1,2c,Mef2c,RAPA (high),0.131843554
dose response ,1,Actb,no treatment,1.176906737
dose response ,2,Actb,DMSO,1
dose response ,3a,Actb,RAPA (low),1.349570179
dose response ,3b,Actb,RAPA (low),1.226884977
dose response ,4a,Actb,RAPA (high),1.14538557
dose response ,4b,Actb,RAPA (high),0.692554734
dose response ,1,Myod1,no treatment,1.044273782
dose response ,2,Myod1,DMSO,2
dose response ,3a,Myod1,RAPA (low),0.590496331
dose response ,3b,Myod1,RAPA (low),0.627418511
dose response ,4a,Myod1,RAPA (high),0.5867563
dose response ,4b,Myod1,RAPA (high),0.423372656
dose response ,1,Myog,no treatment,4.53E-14
dose response ,2,Myog,DMSO,1
dose response ,3a,Myog,RAPA (low),0.261521235
dose response ,3b,Myog,RAPA (low),0.292701085
dose response ,4a,Myog,RAPA (high),0.295418757
dose response ,4b,Myog,RAPA (high),0.213898756
dose response ,1,Fbxo32,no treatment,0.882702996
dose response ,2,Fbxo32,DMSO,1
dose response ,3a,Fbxo32,RAPA (low),1.024556823
dose response ,3b,Fbxo32,RAPA (low),1.128964405
dose response ,4a,Fbxo32,RAPA (high),0.696969132
dose response ,4b,Fbxo32,RAPA (high),0.510211268
dose response ,1,Trim63,no treatment,1.105730653
dose response ,2,Trim63,DMSO,1
dose response ,3a,Trim63,RAPA (low),0.165224553
dose response ,3b,Trim63,RAPA (low),0.175555609
dose response ,4a,Trim63,RAPA (high),0.142184227
dose response ,4b,Trim63,RAPA (high),0.119562207
dose response ,1,Mef2c,no treatment,0.680657058
dose response ,2,Mef2c,DMSO,1
dose response ,3a,Mef2c,RAPA (low),0.086869889
dose response ,3b,Mef2c,RAPA (low),0.105112052
dose response ,4a,Mef2c,RAPA (high),0.15247733
dose response ,4b,Mef2c,RAPA (high),0.139660892
dose response ,1,Pgk1,no treatment,1.180992661
dose response ,2,Pgk1,DMSO,1
dose response ,3a,Pgk1,RAPA (low),1.347233577
dose response ,3b,Pgk1,RAPA (low),1.635804117
dose response ,4a,Pgk1,RAPA (high),1.454812607
dose response ,4b,Pgk1,RAPA (high),0.908568168
dose response ,1,Rplp0,no treatment,0.858565436
dose response ,2,Rplp0,DMSO,1
dose response ,3a,Rplp0,RAPA (low),0.549046407
dose response ,3b,Rplp0,RAPA (low),0.696164426
dose response ,4a,Rplp0,RAPA (high),0.682231528
dose response ,4b,Rplp0,RAPA (high),0.443651884
dose response ,1,Rpl13a,no treatment,1.092399077
dose response ,2,Rpl13a,DMSO,1
dose response ,3a,Rpl13a,RAPA (low),0.712025098
dose response ,3b,Rpl13a,RAPA (low),0.829319546
dose response ,4a,Rpl13a,RAPA (high),0.831237896
dose response ,4b,Rpl13a,RAPA (high),0.486327474
